,ID,CD_GEOCODIGO,TIPO,CD_GEOCODBA,NM_BAIRRO,CD_GEOCODSD,NM_SUBDISTRITO,CD_GEOCODDS,NM_DISTRITO,CD_GEOCODMU,NM_MUNICIPIO,NM_MICRO,NM_MESO,NM_UF,CD_NIVEL,CD_CATEGORIA,NM_CATEGORIA,NM_LOCALIDADE,LONG,LAT,ALT,GM_PONTO_sk
,13798,315050505000001,URBANO,,,31505050500,,315050505,PIMENTA,3150505,PIMENTA,FORMIGA,OESTE DE MINAS,MINAS GERAIS,1,05,CIDADE,PIMENTA,-45.79908703,-20.48319539,789.858984,1J6t+6L*;9:-
,13799,315050510000001,URBANO,,,31505051000,,315050510,SANTO HILÁRIO,3150505,PIMENTA,FORMIGA,OESTE DE MINAS,MINAS GERAIS,2,10,VILA,SANTO HILÁRIO,-45.83744987,-20.66625185,773.27425,1J6t+c4g6?9-
,13800,315053905000001,URBANO,,,31505390500,,315053905,PINGO-D'ÁGUA,3150539,PINGO-D'ÁGUA,CARATINGA,VALE DO RIO DOCE,MINAS GERAIS,1,05,CIDADE,PINGO-D'ÁGUA,-42.40866578,-19.72860825,271.787716,1J6T*OjiZtH>
,13801,315057005000001,URBANO,,,31505700500,,315057005,PINTÓPOLIS,3150570,PINTÓPOLIS,JANUÁRIA,NORTE DE MINAS,MINAS GERAIS,1,05,CIDADE,PINTÓPOLIS,-45.14950688,-16.05498973,501.615578,"1J6eAUY+,wOf"
,13802,315057035000001,URBANO,,,31505703500,,315057035,VILA ACARI,3150570,PINTÓPOLIS,JANUÁRIA,NORTE DE MINAS,MINAS GERAIS,2,35,VILA,VILA ACARI,-45.19732318,-15.85994467,500.482051,1J6eAe.i:3O-
,13803,315060405000001,URBANO,,,31506040500,,315060405,PIRACEMA,3150604,PIRACEMA,OLIVEIRA,OESTE DE MINAS,MINAS GERAIS,1,05,CIDADE,PIRACEMA,-44.47847177,-20.50899586,855.495377,1J6tB92Y7;4p
,13804,315070305000001,URBANO,,,31507030500,,315070305,PIRAJUBA,3150703,PIRAJUBA,FRUTAL,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,1,05,CIDADE,PIRAJUBA,-48.69663806,-19.90850491,543.021048,1J6R891v]:=f
,13805,315080205000001,URBANO,,,31508020500,,315080205,PIRANGA,3150802,PIRANGA,VIÇOSA,ZONA DA MATA,MINAS GERAIS,1,05,CIDADE,PIRANGA,-43.28734555,-20.68514382,732.354664,1J6tDEbt)MQf
,13806,315080210000001,URBANO,,,31508021000,,315080210,PINHEIROS ALTOS,3150802,PIRANGA,VIÇOSA,ZONA DA MATA,MINAS GERAIS,2,10,VILA,PINHEIROS ALTOS,-43.2715747,-20.56765933,823.993532,1J6tD9YPPXW>
,13807,315080215000001,URBANO,,,31508021500,,315080215,SANTO ANTÔNIO DO PIRAPETINGA,3150802,PIRANGA,VIÇOSA,ZONA DA MATA,MINAS GERAIS,2,15,VILA,SANTO ANTÔNIO DO PIRAPETINGA,-43.33141931,-20.60921785,691.223016,1J6tDD^^=Bcp
